,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2010,78.24,BAR.NOED.15UP.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
1,2010,35.18,BAR.NOED.15UP.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
2,2010,7.9,BAR.NOED.15UP.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
3,2010,47.22,BAR.NOED.15UP.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
4,2010,48.03,BAR.NOED.15UP.FE.ZS,NPL,Nepal,South Asia,Lower middle income,IDA
5,2010,59.15,BAR.NOED.15UP.FE.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
6,2010,6.68,BAR.NOED.15UP.FE.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
7,2010,0.35000000000000003,BAR.NOED.15UP.FE.ZS,USA,United States,North America,High income,Not classified
8,2010,15.65,SL.TLF.ACTI.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
9,2011,16.0,SL.TLF.ACTI.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
10,2012,16.44,SL.TLF.ACTI.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
11,2013,17.42,SL.TLF.ACTI.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
12,2014,18.46,SL.TLF.ACTI.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
13,2015,19.55,SL.TLF.ACTI.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
14,2016,20.7,SL.TLF.ACTI.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
15,2017,21.91,SL.TLF.ACTI.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
16,2018,22.32,SL.TLF.ACTI.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
17,2010,31.1,SL.TLF.ACTI.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
18,2011,31.68,SL.TLF.ACTI.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
19,2012,32.26,SL.TLF.ACTI.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
20,2013,32.84,SL.TLF.ACTI.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
21,2014,33.43,SL.TLF.ACTI.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
22,2015,34.01,SL.TLF.ACTI.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
23,2016,34.59,SL.TLF.ACTI.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
24,2017,37.95,SL.TLF.ACTI.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
25,2018,38.25,SL.TLF.ACTI.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
26,2010,69.75,SL.TLF.ACTI.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
27,2011,69.6,SL.TLF.ACTI.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
28,2012,69.47,SL.TLF.ACTI.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
29,2013,69.36,SL.TLF.ACTI.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
30,2014,69.24,SL.TLF.ACTI.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
31,2015,69.14,SL.TLF.ACTI.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
32,2016,69.05,SL.TLF.ACTI.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
33,2017,68.93,SL.TLF.ACTI.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
34,2018,68.78,SL.TLF.ACTI.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
35,2010,27.14,SL.TLF.ACTI.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
36,2011,25.67,SL.TLF.ACTI.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
37,2012,24.26,SL.TLF.ACTI.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
38,2013,23.85,SL.TLF.ACTI.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
39,2014,23.46,SL.TLF.ACTI.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
40,2015,23.1,SL.TLF.ACTI.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
41,2016,22.77,SL.TLF.ACTI.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
42,2017,22.45,SL.TLF.ACTI.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
43,2018,22.16,SL.TLF.ACTI.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
44,2010,82.32,SL.TLF.ACTI.FE.ZS,NPL,Nepal,South Asia,Lower middle income,IDA
45,2011,82.45,SL.TLF.ACTI.FE.ZS,NPL,Nepal,South Asia,Lower middle income,IDA
46,2012,82.72,SL.TLF.ACTI.FE.ZS,NPL,Nepal,South Asia,Lower middle income,IDA
47,2013,83.09,SL.TLF.ACTI.FE.ZS,NPL,Nepal,South Asia,Lower middle income,IDA
48,2014,83.48,SL.TLF.ACTI.FE.ZS,NPL,Nepal,South Asia,Lower middle income,IDA
49,2015,83.84,SL.TLF.ACTI.FE.ZS,NPL,Nepal,South Asia,Lower middle income,IDA
50,2016,84.34,SL.TLF.ACTI.FE.ZS,NPL,Nepal,South Asia,Lower middle income,IDA
51,2017,84.75,SL.TLF.ACTI.FE.ZS,NPL,Nepal,South Asia,Lower middle income,IDA
52,2018,85.07,SL.TLF.ACTI.FE.ZS,NPL,Nepal,South Asia,Lower middle income,IDA
53,2010,22.81,SL.TLF.ACTI.FE.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
54,2011,23.18,SL.TLF.ACTI.FE.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
55,2012,23.39,SL.TLF.ACTI.FE.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
56,2013,23.62,SL.TLF.ACTI.FE.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
57,2014,24.07,SL.TLF.ACTI.FE.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
58,2015,25.09,SL.TLF.ACTI.FE.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
59,2016,24.24,SL.TLF.ACTI.FE.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
60,2017,23.42,SL.TLF.ACTI.FE.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
61,2018,22.62,SL.TLF.ACTI.FE.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
62,2010,48.38,SL.TLF.ACTI.FE.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
63,2011,49.11,SL.TLF.ACTI.FE.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
64,2012,49.59,SL.TLF.ACTI.FE.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
65,2013,50.73,SL.TLF.ACTI.FE.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
66,2014,51.11,SL.TLF.ACTI.FE.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
67,2015,52.6,SL.TLF.ACTI.FE.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
68,2016,52.82,SL.TLF.ACTI.FE.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
69,2017,53.89,SL.TLF.ACTI.FE.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
70,2018,53.85,SL.TLF.ACTI.FE.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
71,2010,67.14,SL.TLF.ACTI.FE.ZS,USA,United States,North America,High income,Not classified
72,2011,66.56,SL.TLF.ACTI.FE.ZS,USA,United States,North America,High income,Not classified
73,2012,66.52,SL.TLF.ACTI.FE.ZS,USA,United States,North America,High income,Not classified
74,2013,66.02,SL.TLF.ACTI.FE.ZS,USA,United States,North America,High income,Not classified
75,2014,66.0,SL.TLF.ACTI.FE.ZS,USA,United States,North America,High income,Not classified
76,2015,65.86,SL.TLF.ACTI.FE.ZS,USA,United States,North America,High income,Not classified
77,2016,66.29,SL.TLF.ACTI.FE.ZS,USA,United States,North America,High income,Not classified
78,2017,66.94,SL.TLF.ACTI.FE.ZS,USA,United States,North America,High income,Not classified
79,2018,67.23,SL.TLF.ACTI.FE.ZS,USA,United States,North America,High income,Not classified
